map,dimension,chart,datum,different,design,visbrick,edge,model,analysi
foam,event,quality_metric,modality,flow,workload,variant,story,vessel,traffic
highlighting,metal,query,image,judgement,x-ray,skeleton,video,2d,interest
scatterplot,layout,model,category,explanation,task,parameter,analyst,time-varying_datum,transgraph
group,attribute,size,hybrid-imagevisualization,vortex,cluster,set,display,datum,item
topic,flow,illusion,plot,fiber,depiction,method,tile,dimension,protein
ensemble,variable,boxplot,histogram,parameter,simulation,point,cloud_cluster,d3,training
pivotslouse,tree,treeversity2,blood-flow,distribution,image,probe,network,target,disease
path,measure,privacy,sketchstory,distance,gigapixel,lattice,quasi_interpolation,flow,molecule
pathway,macro,model,community,candidate,task,gaussian,symmetry,sensemaking,visual_link
